tempo,energy,valence,danceability,acousticness,loudness
138.18,0.946,0.647,0.454,0.0223,-5.978
105.435,0.828,0.147,0.35,0.000217,-5.373
124.348,0.349,0.622,0.489,0.676,-14.295
159.925,0.872,0.735,0.587,0.018,-5.066
151.008,0.808,0.869,0.577,0.0338,-7.04
112.113,0.758,0.435,0.489,0.000678,-6.491
112.937,0.932,0.619,0.564,0.013,-10.068
177.765,0.338,0.478,0.388,0.652,-10.054
188.386,0.7,0.763,0.31,0.011,-5.678
137.145,0.691,0.667,0.548,0.015,-13.553
136.576,0.532,0.342,0.601,0.433,-9.119
203.006,0.641,0.382,0.256,0.199,-10.283
109.535,0.755,0.883,0.667,0.0966,-7.246
92.718,0.373,0.732,0.671,0.257,-18.064
141.466,0.927,0.385,0.333,0.0029,-8.55
126.879,0.787,0.964,0.767,0.0163,-9.897
127.163,0.366,0.171,0.472,0.15,-12.595
81.394,0.864,0.749,0.437,0.396,-7.842
170.411,0.584,0.685,0.509,0.0368,-4.907
117.399,0.912,0.843,0.575,0.0916,-7.275
85.387,0.611,0.786,0.654,0.0337,-10.45
138.453,0.482,0.492,0.529,0.7,-11.709
134.114,0.748,0.663,0.618,0.0384,-8.905
147.245,0.7,0.897,0.586,0.0589,-9.558
104.522,0.318,0.385,0.575,0.683,-16.729
80.823,0.706,0.768,0.445,0.234,-9.803
115.728,0.913,0.423,0.574,0.061,-4.793
124.936,0.495,0.308,0.532,0.659,-6.662
75.009,0.875,0.595,0.284,0.00752,-6.069
103.867,0.737,0.744,0.662,0.108,-9.54
91.577,0.936,0.776,0.666,0.00244,-9.919
94.605,0.432,0.648,0.475,0.183,-7.844
176.941,0.549,0.907,0.516,0.501,-13.741
89.839,0.751,0.789,0.421,0.2,-9.584
168.131,0.938,0.543,0.324,0.032,-7.332
84.989,0.953,0.568,0.267,0.00211,-4.899
135.997,0.919,0.537,0.465,1.83e-05,-4.025
127.402,0.58,0.944,0.741,0.117,-9.05
121.864,0.72,0.475,0.404,5.59e-05,-9.18
170.814,0.927,0.49,0.215,0.000273,-7.327
133.769,0.801,0.776,0.651,0.123,-7.34
122.861,0.262,0.375,0.481,0.735,-15.73
84.383,0.449,0.573,0.623,0.212,-13.333
148.117,0.476,0.566,0.389,0.619,-9.342
141.167,0.978,0.451,0.526,0.00122,-5.436
100.127,0.842,0.586,0.297,0.000286,-7.457
146.347,0.944,0.606,0.27,0.00501,-4.199
136.094,0.182,0.178,0.349,0.92,-13.507
58.303,0.164,0.071,0.136,0.911,-18.756
170.612,0.00527,0.151,0.184,0.995,-37.264
92.468,0.449,0.036,0.447,0.934,-10.634
80.09,0.812,0.664,0.505,0.285,-3.986
130.007,0.507,0.506,0.872,0.195,-6.323
128.085,0.802,0.374,0.835,0.0311,-4.286
120.011,0.533,0.15,0.794,0.14,-8.206
119.973,0.722,0.57,0.769,0.0584,-5.485
166.976,0.684,0.68,0.832,0.00449,-4.691
111.907,0.642,0.186,0.65,0.00502,-5.332
129.054,0.699,0.484,0.92,0.00768,-6.635
119.98,0.628,0.321,0.757,0.189,-6.715
78.53,0.709,0.564,0.749,0.155,-6.385
125.951,0.69,0.471,0.853,0.0771,-5.858
131.001,0.754,0.301,0.863,0.00125,-5.851
106.682,0.4,0.089,0.608,0.029,-9.519
157.94,0.509,0.549,0.662,0.247,-9.159
143.082,0.663,0.209,0.76,0.109,-4.763
147.216,0.761,0.313,0.649,0.00694,-4.204
184.057,0.663,0.381,0.672,0.112,-5.984
114.991,0.681,0.324,0.884,0.0439,-5.839
139.942,0.723,0.294,0.783,0.0264,-4.881
139.905,0.831,0.648,0.652,0.0111,-5.972
75.013,0.525,0.467,0.776,0.0366,-6.723
63.925,0.5,0.269,0.427,0.286,-8.269
125.845,0.586,0.147,0.731,0.116,-7.564
144.941,0.552,0.112,0.64,0.0215,-5.679
101.061,0.472,0.214,0.898,0.0107,-7.001
129.77,0.859,0.64,0.77,0.362,-3.382
121.991,0.685,0.458,0.731,0.054,-4.707
124.005,0.578,0.192,0.916,0.00349,-6.275
146.007,0.574,0.286,0.694,0.193,-6.144
131.041,0.867,0.799,0.902,0.0678,-3.108
140.203,0.692,0.427,0.637,0.0153,-7.231
104.563,0.478,0.39,0.675,0.0731,-10.201
82.557,0.878,0.514,0.661,0.00289,-4.099
78.022,0.396,0.413,0.726,0.269,-9.121
117.038,0.711,0.328,0.974,0.0988,-5.206
77.499,0.527,0.212,0.824,0.149,-5.506
158.042,0.752,0.242,0.638,0.0066,-6.227
108.52,0.826,0.417,0.654,0.0153,-2.93
101.061,0.472,0.214,0.898,0.0107,-7.001
140.113,0.764,0.886,0.882,0.359,-5.241
144.941,0.552,0.112,0.64,0.0215,-5.679
123.987,0.632,0.253,0.848,0.398,-7.381
142.096,0.805,0.649,0.548,0.212,-5.732
121.854,0.631,0.433,0.772,0.0648,-5.082
125.089,0.702,0.675,0.871,0.296,-8.025
142.974,0.57,0.733,0.787,0.0449,-5.881
116.624,0.583,0.533,0.709,0.138,-5.298
159.98,0.592,0.4,0.82,0.0149,-7.002
144.006,0.68,0.694,0.85,0.732,-6.18
165.409,0.758,0.331,0.681,0.00465,-6.524
131.964,0.413,0.211,0.772,0.0361,-8.194
151.951,0.658,0.387,0.752,0.0421,-6.297
142.791,0.732,0.612,0.548,0.125,-5.652
143.477,0.676,0.472,0.594,0.135,-5.808
99.7,0.618,0.286,0.49,0.0221,-5.655
77.528,0.35,0.346,0.822,0.0213,-12.207
150.141,0.946,0.745,0.804,0.002,-5.949
143.01,0.626,0.415,0.819,0.00748,-4.574
188.051,0.592,0.232,0.696,0.152,-6.281
138.05,0.547,0.606,0.92,0.0241,-4.98
76.984,0.395,0.128,0.793,0.277,-5.578
130.007,0.774,0.549,0.867,0.11,-5.791
136.006,0.449,0.1,0.578,0.0618,-6.349
165.921,0.673,0.366,0.529,0.000307,-4.711
156.953,0.73,0.41,0.729,0.00165,-5.14
127.05,0.487,0.108,0.964,0.00127,-6.071
149.012,0.732,0.576,0.841,0.0115,-5.186
134.093,0.611,0.144,0.711,0.00588,-5.453
130.029,0.733,0.202,0.847,0.00574,-6.439
143.029,0.48,0.419,0.846,0.269,-8.618
120.031,0.575,0.671,0.88,0.415,-6.091
150.062,0.727,0.227,0.477,0.000866,-4.053
137.027,0.495,0.0774,0.853,0.0917,-14.63
150.062,0.434,0.281,0.833,0.0102,-8.795
77.972,0.564,0.483,0.856,0.00327,-6.295
139.956,0.67,0.408,0.79,0.377,-5.527
97.974,0.733,0.62,0.825,0.349,-5.625
75.965,0.567,0.526,0.574,0.164,-7.126
150.062,0.434,0.281,0.833,0.0102,-8.795
94.329,0.665,0.463,0.583,0.314,-3.885
119.957,0.346,0.562,0.963,0.0355,-9.309
148.107,0.577,0.17,0.797,0.0174,-5.617
119.97,0.59,0.723,0.88,0.08,-4.709
129.902,0.631,0.126,0.807,0.407,-4.883
131.964,0.413,0.211,0.772,0.0361,-8.194
165.946,0.822,0.768,0.513,0.14,-4.51
127.079,0.666,0.168,0.926,0.0611,-5.314
145.95,0.575,0.189,0.713,0.00669,-6.706
124.041,0.586,0.568,0.808,0.641,-7.242
162.012,0.676,0.312,0.814,0.00709,-4.67
109.966,0.928,0.23,0.616,0.0168,-2.34
135.14,0.542,0.564,0.926,0.135,-5.064
135.055,0.637,0.616,0.851,0.225,-6.149
128.14,0.718,0.557,0.76,0.348,-3.017
115.01,0.748,0.497,0.752,0.289,-3.755
119.967,0.536,0.349,0.689,0.25,-8.861
118.96,0.531,0.367,0.566,0.192,-6.635
124.992,0.657,0.284,0.883,0.0603,-5.748
92.055,0.88,0.582,0.753,0.455,-3.165
86.003,0.496,0.544,0.889,0.259,-6.365
96.914,0.708,0.634,0.712,0.404,-5.715
120.146,0.696,0.406,0.744,0.71,-5.015
140.101,0.629,0.209,0.523,0.156,-4.058
99.827,0.735,0.403,0.697,0.172,-4.16
147.037,0.671,0.316,0.607,0.403,-6.934
110.964,0.486,0.0894,0.784,0.0538,-6.497
116.624,0.583,0.533,0.709,0.138,-5.298
129.958,0.385,0.19,0.69,0.181,-8.444
172.445,0.411,0.503,0.722,0.509,-9.963
133.03,0.484,0.747,0.93,0.355,-5.486
113.903,0.6,0.691,0.883,0.114,-7.188
155.008,0.73,0.446,0.834,0.00513,-3.714
87.973,0.668,0.145,0.573,0.189,-4.356
135.993,0.603,0.429,0.735,0.226,-9.474
171.264,0.637,0.882,0.567,0.499,-4.032
118.079,0.874,0.927,0.774,0.142,-5.641
113.981,0.792,0.903,0.749,0.308,-4.621
100.049,0.812,0.823,0.455,0.372,-3.455
93.2,0.648,0.746,0.737,0.252,-5.493
93.482,0.814,0.758,0.683,0.277,-3.505
145.379,0.683,0.623,0.501,0.109,-7.881
101.837,0.634,0.645,0.502,0.677,-3.367
112.648,0.651,0.471,0.694,0.496,-6.968
99.973,0.581,0.528,0.805,0.0303,-5.091
105.008,0.563,0.343,0.833,0.528,-5.593
101.923,0.737,0.445,0.779,0.134,-4.667
95.999,0.662,0.307,0.863,0.0843,-5.855
100.029,0.482,0.356,0.69,0.523,-6.335
128.027,0.668,0.787,0.924,0.446,-6.795
90.025,0.762,0.782,0.816,0.534,-2.864
105.002,0.718,0.564,0.848,0.183,-4.385
91.98,0.712,0.692,0.848,0.221,-3.574
155.865,0.627,0.47,0.687,0.326,-4.975
171.831,0.483,0.826,0.753,0.0189,-6.436
101.097,0.724,0.681,0.556,0.267,-3.165
100.021,0.442,0.838,0.776,0.319,-8.99
119.893,0.614,0.465,0.658,0.105,-6.981
155.079,0.681,0.388,0.56,0.103,-6.304
104.033,0.719,0.701,0.707,0.223,-4.963
97.541,0.536,0.359,0.716,0.452,-7.798
125.01,0.594,0.672,0.694,0.396,-8.39
100.076,0.752,0.67,0.841,0.167,-4.735
194.055,0.709,0.712,0.744,0.0501,-5.778
82.045,0.707,0.691,0.786,0.0399,-4.386
98.582,0.832,0.716,0.742,0.0857,-4.267
104.008,0.616,0.25,0.773,0.0565,-4.516
120.208,0.689,0.936,0.724,0.573,-7.174
117.955,0.74,0.618,0.748,0.0292,-3.643
136.0,0.856,0.713,0.691,0.2,-5.035
79.503,0.464,0.301,0.373,0.86,-8.606
103.001,0.783,0.454,0.705,0.138,-4.783
111.93,0.631,0.289,0.706,0.656,-5.812
156.023,0.445,0.512,0.55,0.262,-9.548
148.853,0.764,0.729,0.666,0.366,-6.297
184.784,0.162,0.483,0.459,0.929,-11.634
139.995,0.834,0.92,0.783,0.539,-4.623
100.036,0.682,0.618,0.75,0.168,-3.825
199.997,0.578,0.88,0.734,0.155,-4.147
109.935,0.513,0.929,0.745,0.783,-9.116
124.997,0.824,0.793,0.747,0.184,-4.353
165.07,0.787,0.9,0.809,0.126,-3.826
169.653,0.356,0.659,0.529,0.29,-6.612
123.009,0.806,0.594,0.763,0.0012,-4.946
128.924,0.872,0.94,0.816,0.25,-4.27
90.622,0.896,0.79,0.662,0.318,-5.311
161.989,0.59,0.579,0.864,0.0196,-8.768
81.009,0.63,0.512,0.72,0.615,-5.549
82.941,0.573,0.236,0.603,0.478,-5.843
135.875,0.468,0.319,0.483,0.784,-7.642
122.925,0.519,0.415,0.562,0.557,-8.744
124.914,0.481,0.293,0.534,0.697,-9.016
140.266,0.866,0.248,0.526,0.00287,-5.822
132.009,0.903,0.791,0.562,0.000187,-4.46
109.942,0.585,0.518,0.775,0.0422,-9.516
105.105,0.957,0.603,0.606,0.00117,-3.404
100.99,0.94,0.421,0.438,8.74e-05,-3.249
79.028,0.795,0.754,0.801,0.0417,-5.115
119.945,0.509,0.586,0.578,0.13,-6.229
117.038,0.62,0.934,0.741,0.0295,-5.505
103.842,0.643,0.472,0.633,0.106,-8.122
120.509,0.593,0.429,0.565,0.0288,-5.864
164.959,0.749,0.649,0.593,0.0113,-5.67
151.891,0.518,0.877,0.815,0.223,-6.594
103.912,0.846,0.751,0.611,0.00509,-5.9
168.017,0.924,0.611,0.598,0.0205,-4.974
112.056,0.828,0.79,0.654,0.00146,-5.377
113.967,0.901,0.744,0.621,0.17,-5.396
119.869,0.509,0.727,0.898,0.391,-7.973
100.99,0.94,0.421,0.438,8.74e-05,-3.249
131.272,0.572,0.66,0.636,0.287,-7.797
102.99,0.603,0.527,0.66,0.00566,-7.7
126.976,0.798,0.307,0.502,0.00291,-5.909
209.688,0.684,0.725,0.633,0.314,-4.314
87.057,0.351,0.451,0.665,0.516,-9.424
106.035,0.521,0.679,0.539,0.00425,-7.46
121.968,0.544,0.826,0.823,0.389,-10.077
150.093,0.658,0.293,0.615,0.096,-7.299
134.014,0.501,0.961,0.781,0.66,-9.767
87.086,0.501,0.858,0.668,0.342,-13.119
121.059,0.361,0.621,0.606,0.264,-16.031
187.711,0.361,0.612,0.363,0.623,-14.398
78.259,0.586,0.239,0.434,0.753,-7.612
159.94,0.545,0.549,0.545,0.667,-7.362
75.24,0.364,0.436,0.524,0.808,-10.209
86.412,0.507,0.676,0.662,0.257,-8.238
81.001,0.607,0.498,0.684,0.0267,-8.127
143.008,0.551,0.392,0.559,0.141,-7.231
118.402,0.444,0.166,0.609,0.603,-9.129
117.489,0.394,0.382,0.689,0.711,-10.102
92.887,0.551,0.969,0.911,0.133,-3.75
86.009,0.693,0.655,0.662,0.134,-4.298
112.912,0.684,0.406,0.692,0.131,-7.364
113.451,0.239,0.127,0.372,0.856,-11.314
92.995,0.307,0.697,0.81,0.16,-7.215
102.679,0.352,0.408,0.45,0.649,-11.733
90.119,0.695,0.707,0.665,0.347,-5.763
95.986,0.609,0.482,0.652,0.263,-7.519
99.796,0.284,0.276,0.358,0.805,-8.285
65.203,0.344,0.581,0.583,0.774,-8.765
92.795,0.574,0.578,0.452,0.245,-8.336
93.145,0.707,0.761,0.704,0.539,-6.537
86.768,0.612,0.57,0.536,0.119,-5.847
88.98,0.735,0.418,0.644,0.0521,-5.747
137.007,0.503,0.789,0.646,0.00426,-7.472
90.098,0.552,0.152,0.641,0.027,-5.423
95.975,0.698,0.352,0.59,0.000176,-4.262
125.99,0.61,0.72,0.741,0.316,-7.34
96.644,0.705,0.837,0.838,0.195,-6.131
141.967,0.378,0.22,0.617,0.428,-8.54
129.93,0.43,0.472,0.716,0.482,-8.28
93.985,0.629,0.726,0.657,0.194,-4.938
82.887,0.493,0.308,0.347,0.455,-11.548
135.002,0.594,0.409,0.795,0.112,-6.2
132.798,0.5,0.395,0.602,0.477,-9.377
133.876,0.618,0.517,0.707,0.17,-5.825
119.928,0.477,0.685,0.796,0.314,-7.161
171.864,0.681,0.707,0.673,0.52,-5.693
94.519,0.588,0.617,0.686,0.178,-8.343
135.03,0.5,0.886,0.856,0.487,-9.393
146.163,0.725,0.291,0.61,0.367,-5.131
124.037,0.5,0.649,0.816,0.0227,-4.551
130.21,0.876,0.706,0.412,0.102,-6.008
109.97,0.538,0.832,0.81,0.53,-5.783
92.009,0.394,0.465,0.764,0.231,-8.559
168.19,0.552,0.607,0.727,0.226,-8.074
140.012,0.712,0.346,0.573,0.0572,-5.976
179.063,0.576,0.235,0.625,0.0543,-5.693
73.313,0.366,0.161,0.4,0.242,-9.405
144.211,0.242,0.286,0.549,0.809,-11.692
169.904,0.721,0.77,0.62,0.0422,-5.538
138.007,0.467,0.702,0.845,0.0586,-7.674
103.019,0.635,0.446,0.617,0.0498,-6.769
129.024,0.939,0.53,0.671,0.191,-3.206
199.892,0.715,0.159,0.475,0.0863,-5.371
128.035,0.823,0.418,0.646,0.213,-4.123
125.983,0.835,0.654,0.527,0.0166,-5.298
117.948,0.751,0.884,0.88,0.177,-4.258
118.02,0.685,0.603,0.782,0.166,-6.237
95.01,0.524,0.661,0.748,0.414,-5.599
179.642,0.627,0.159,0.468,0.0281,-5.085
127.949,0.856,0.743,0.596,0.0211,-3.556
125.905,0.77,0.163,0.694,0.176,-5.335
129.992,0.963,0.788,0.581,0.0295,-4.087
126.062,0.787,0.301,0.604,0.0679,-3.674
101.969,0.714,0.71,0.664,0.0353,-6.645
123.063,0.815,0.636,0.636,0.0185,-5.098
127.999,0.736,0.613,0.579,0.31,-3.863
130.003,0.777,0.575,0.73,0.105,-5.194
159.805,0.869,0.425,0.533,0.156,-5.093
128.024,0.857,0.348,0.414,0.0287,-4.078
127.075,0.86,0.437,0.608,0.0991,-5.324
116.047,0.811,0.862,0.794,0.0426,-8.966
123.077,0.741,0.571,0.646,0.0275,-4.973
133.99,0.519,0.168,0.501,0.109,-5.88
121.985,0.717,0.466,0.793,0.0927,-4.759
130.039,0.685,0.501,0.772,0.019,-6.849
123.962,0.927,0.465,0.631,0.199,-2.787
119.958,0.593,0.72,0.79,0.0983,-9.204
127.975,0.766,0.6,0.735,0.025,-4.485
119.994,0.51,0.45,0.829,0.00821,-9.334
127.966,0.869,0.473,0.616,0.0283,-3.911
126.094,0.915,0.51,0.544,0.129,-3.405
119.896,0.741,0.357,0.72,0.101,-6.529
122.746,0.697,0.476,0.613,0.0194,-8.618
113.927,0.634,0.411,0.704,0.393,-7.374
117.965,0.861,0.704,0.73,0.39,-4.1
126.002,0.989,0.0348,0.621,0.015,-4.225
126.008,0.805,0.383,0.506,0.00711,-4.119
104.879,0.695,0.224,0.583,0.0138,-5.336
128.036,0.862,0.469,0.498,0.000313,-6.02
119.975,0.857,0.432,0.56,0.0594,-4.145
128.0,0.781,0.176,0.509,0.0398,-3.48
85.979,0.73,0.525,0.596,0.24,-4.091
117.973,0.568,0.459,0.78,0.668,-6.96
121.999,0.463,0.496,0.778,0.546,-7.603
112.05,0.774,0.33,0.674,0.0686,-7.567
126.052,0.81,0.11,0.572,0.0157,-5.791
119.977,0.781,0.814,0.751,0.0039,-3.724
120.97,0.586,0.549,0.799,0.162,-6.735
122.031,0.72,0.664,0.789,0.223,-5.652
120.031,0.62,0.235,0.798,0.414,-7.079
102.04,0.622,0.544,0.69,0.253,-5.025
130.011,0.736,0.355,0.75,0.0202,-4.168
100.001,0.802,0.343,0.713,0.0435,-7.055
125.916,0.906,0.824,0.711,0.00952,-2.671
130.072,0.921,0.8,0.691,0.173,-1.702
121.294,0.795,0.841,0.956,0.00356,-5.311
129.885,0.833,0.145,0.551,0.0391,-5.217
128.078,0.817,0.595,0.883,0.601,-5.414
125.896,0.748,0.356,0.503,0.0305,-4.124
75.066,0.392,0.26,0.599,0.378,-6.869
159.92,0.604,0.242,0.561,0.199,-4.409
152.88,0.473,0.451,0.591,0.694,-8.122
157.969,0.592,0.535,0.521,0.308,-7.777
104.978,0.507,0.438,0.747,0.2,-10.171
116.712,0.582,0.785,0.7,0.0502,-5.96
103.969,0.76,0.69,0.701,0.107,-5.478
159.92,0.604,0.242,0.561,0.199,-4.409
148.038,0.882,0.201,0.569,0.0316,-2.777
123.994,0.601,0.332,0.635,0.246,-6.129
139.982,0.757,0.957,0.742,0.0187,-4.981
101.061,0.472,0.214,0.898,0.0107,-7.001
181.489,0.583,0.544,0.432,0.174,-4.682
81.012,0.709,0.604,0.722,0.0633,-4.95
119.992,0.782,0.655,0.727,0.0563,-8.529
180.098,0.745,0.262,0.464,0.0235,-3.202
107.071,0.586,0.579,0.669,0.274,-6.073
128.04,0.965,0.304,0.561,0.00383,-3.673
132.052,0.544,0.216,0.571,0.453,-10.613
140.515,0.854,0.314,0.477,0.0858,-4.715
105.029,0.471,0.219,0.472,0.151,-5.692
130.019,0.667,0.618,0.776,0.0146,-6.622
151.647,0.946,0.747,0.599,0.000938,-4.263
127.986,0.855,0.731,0.638,0.00757,-4.86
179.974,0.642,0.226,0.745,0.0204,-6.257
139.198,0.829,0.505,0.476,0.0172,-3.806
144.941,0.552,0.112,0.64,0.0215,-5.679
139.943,0.453,0.287,0.915,0.0872,-4.589
119.996,0.787,0.31,0.704,0.00926,-6.751
126.031,0.618,0.32,0.853,0.633,-10.833
129.994,0.751,0.22,0.701,0.123,-8.39
126.035,0.957,0.962,0.804,0.125,-5.452
146.04,0.457,0.225,0.592,0.661,-6.081
100.011,0.792,0.671,0.687,0.191,-2.749
162.012,0.676,0.312,0.814,0.00709,-4.67
89.96,0.522,0.925,0.755,0.533,-4.368
130.001,0.622,0.22,0.847,0.119,-6.747
90.969,0.668,0.64,0.646,0.491,-5.203
172.09,0.733,0.244,0.625,0.00598,-8.757
83.389,0.642,0.339,0.463,0.314,-4.474
129.963,0.761,0.785,0.634,0.00537,-4.752
128.009,0.537,0.711,0.921,0.556,-5.723
165.995,0.745,0.829,0.808,0.145,-5.26
120.064,0.741,0.19,0.771,0.0245,-7.132
130.035,0.727,0.932,0.887,0.381,-4.318
150.019,0.95,0.563,0.673,0.0229,-5.149
120.042,0.62,0.796,0.857,0.646,-8.13
127.003,0.887,0.889,0.936,0.0292,-2.76
115.842,0.646,0.295,0.645,0.0615,-8.334
116.971,0.586,0.642,0.896,0.104,-6.687
104.983,0.558,0.606,0.943,0.0026,-4.911
155.096,0.75,0.401,0.732,0.00264,-6.366
140.113,0.764,0.886,0.882,0.359,-5.241
121.031,0.632,0.282,0.762,0.51,-8.312
80.511,0.512,0.638,0.829,0.492,-5.865
91.007,0.716,0.732,0.701,0.174,-3.671
129.923,0.773,0.504,0.681,0.0863,-4.706
165.921,0.673,0.366,0.529,0.000307,-4.711
116.624,0.583,0.533,0.709,0.138,-5.298
122.011,0.797,0.0356,0.702,0.583,-6.635
139.057,0.681,0.706,0.918,0.263,-4.705
127.926,0.753,0.543,0.671,0.019,-6.045
146.003,0.761,0.194,0.62,0.207,-7.282
90.026,0.452,0.613,0.904,0.174,-7.272
96.02,0.512,0.435,0.803,0.128,-6.871
139.948,0.643,0.142,0.831,0.046,-5.002
75.965,0.567,0.526,0.574,0.164,-7.126
120.509,0.593,0.429,0.565,0.0288,-5.864
75.023,0.83,0.187,0.767,0.209,-8.78
169.982,0.523,0.416,0.628,0.701,-8.307
88.009,0.934,0.637,0.777,0.285,-0.959
109.952,0.927,0.702,0.755,0.00288,0.254
117.038,0.62,0.934,0.741,0.0295,-5.505
130.051,0.64,0.222,0.537,0.146,-10.441
130.028,0.963,0.502,0.817,0.0683,-3.318
99.974,0.556,0.726,0.864,0.255,-7.683
130.028,0.803,0.795,0.877,0.734,-3.195
140.04,0.573,0.972,0.911,0.38,-7.43
130.017,0.629,0.586,0.848,0.016,-6.198
108.005,0.777,0.589,0.58,0.104,-5.69
158.105,0.539,0.253,0.65,0.00617,-7.281
136.902,0.672,0.14,0.673,0.0466,-8.577
125.952,0.818,0.886,0.687,0.0112,-4.221
123.01,0.687,0.381,0.755,0.183,-6.247
151.221,0.919,0.848,0.83,0.503,-2.12
130.0,0.738,0.591,0.593,0.269,-2.956
150.251,0.81,0.686,0.613,0.832,-6.16
149.036,0.967,0.399,0.628,0.0398,-4.068
129.975,0.897,0.355,0.686,0.0103,-7.18
120.003,0.793,0.698,0.696,0.0683,-5.733
128.001,0.781,0.818,0.805,0.002,-7.225
135.048,0.848,0.774,0.721,0.26,-3.371
114.071,0.742,0.571,0.773,0.0206,-3.678
77.499,0.527,0.212,0.824,0.149,-5.506
163.997,0.655,0.245,0.475,0.0306,-7.342
