tempo,energy,valence,danceability,acousticness,loudness,cognitive_load_final,productivity
110.042,0.814,0.91,0.859,0.0638,-4.568,3.954594095081235,1.3746482469724834
93.941,0.697,0.67,0.901,0.145,-3.439,2.096340508172447,2.092486377770803
142.724,0.644,0.47,0.778,0.0625,-5.542,3.555114872491009,4.288260889831893
165.002,0.688,0.785,0.601,0.474,-7.871,2.6329118874282336,6.062604661260855
86.003,0.496,0.544,0.889,0.259,-6.365,2.331756231644029,2.7130692829899723
74.996,0.331,0.375,0.559,0.64,-12.731,3.3926082815463303,0.017443667474240976
143.932,0.585,0.495,0.645,0.37,-9.493,2.835106228349022,4.423356340387501
143.998,0.445,0.152,0.543,0.375,-8.137,2.741118726193881,4.2177108281856235
87.961,0.673,0.695,0.818,0.348,-7.542,3.632688422739077,1.638577858537751
97.04,0.283,0.144,0.766,0.111,-10.33,3.032898640405868,2.6663098656234956
179.659,0.756,0.76,0.472,0.022,-6.068,2.295127409976982,6.481053620793096
134.039,0.701,0.564,0.71,0.0105,-5.415,3.6728912108501297,3.9433605943917907
155.063,0.877,0.125,0.337,0.00575,-5.74,1.7824450558447011,5.8965430248131305
167.033,0.904,0.788,0.739,0.549,-2.655,3.1494088527659407,5.535712316477231
184.108,0.886,0.897,0.714,0.663,-4.429,3.138518178777221,6.547993682816763
139.986,0.269,0.614,0.9,0.508,-11.537,2.30390070840187,2.621963613422837
171.285,0.78,0.448,0.461,0.128,-5.004,4.415404611277138,3.9354050946209878
96.105,0.377,0.319,0.7,0.201,-7.258,3.603078948216367,0.9437641871341114
92.971,0.787,0.392,0.731,0.0865,-5.26,2.0908183786313854,2.35170744885155
126.342,0.837,0.447,0.597,0.00427,-6.518,1.653862839516853,4.459847477159834
132.852,0.746,0.23,0.819,0.0692,-6.087,4.419504927830486,4.168617368970008
89.129,0.539,0.312,0.217,0.0903,-12.261,2.723315434190283,1.1674765369545306
81.999,0.524,0.787,0.579,0.296,-7.764,2.348901234829623,2.997917366727782
129.071,0.664,0.437,0.575,0.637,-5.303,1.9069146774070735,2.751238486458537
124.043,0.769,0.46,0.624,0.000535,-5.862,2.8302992288330144,3.2853955869478133
139.905,0.831,0.648,0.652,0.0111,-5.972,2.3985807244799915,4.837288485521013
128.172,0.83,0.56,0.669,0.179,-5.196,2.2320158517721658,4.923489649941545
130.077,0.335,0.497,0.824,0.905,-9.877,2.2391020060054445,4.525024974988499
101.875,0.7,0.724,0.85,0.0607,-6.49,4.292238719662853,2.2745562594696427
179.918,0.62,0.53,0.527,0.495,-7.649,3.5437963578746348,4.756957841451855
112.995,0.653,0.51,0.871,0.623,-6.234,3.7001332710921817,1.880941590461687
80.015,0.434,0.926,0.851,0.52,-9.551,2.710100775802645,2.411295260615038
126.027,0.869,0.726,0.874,0.00116,-5.996,3.549405993460999,3.0530508803495855
104.409,0.495,0.967,0.737,0.0588,-13.489,2.3845709162751354,1.5870169436419708
121.968,0.544,0.826,0.823,0.389,-10.077,2.631009180574976,2.293425441536539
126.684,0.586,0.443,0.553,0.697,-6.319,3.102825633140263,2.3688472074861777
159.779,0.742,0.416,0.268,0.0518,-4.939,2.96072023715437,5.410144554330269
76.739,0.237,0.796,0.365,0.985,-28.82,3.349044404242707,0.8171502126763994
94.519,0.588,0.617,0.686,0.178,-8.343,3.3023409204295833,2.534972617724102
129.963,0.761,0.785,0.634,0.00537,-4.752,3.55361844379387,2.8415725986283698
105.479,0.336,0.553,0.552,0.828,-10.712,2.091268457250469,3.1078849252763394
129.972,0.548,0.652,0.871,0.669,-8.912,2.221784419355215,4.704642858483166
127.361,0.767,0.755,0.532,0.00287,-5.509,2.680777496951801,3.560871462718321
91.044,0.423,0.439,0.681,0.627,-12.002,4.483534604336691,1.0193075540880585
139.943,0.0962,0.31,0.798,0.515,-21.004,3.1219960988284123,2.553637179870619
80.001,0.53,0.118,0.619,0.453,-8.98,3.546913251756554,0.6354555520296857
123.879,0.549,0.78,0.613,0.097,-8.187,2.0771509079304797,3.570501379657288
169.904,0.721,0.77,0.62,0.0422,-5.538,2.347437352844457,4.587570472135395
160.113,0.072,0.0615,0.419,0.961,-19.041,3.5188436714010796,4.162817543664718
169.31,0.542,0.809,0.334,0.0117,-11.202,2.35607956951059,5.068534004188805
71.7,0.000642,0.424,0.0589,0.961,-38.447,3.789289059749734,-0.15016672907209963
176.009,0.846,0.961,0.733,0.309,-3.692,3.623908494438371,5.637179863355213
130.148,0.596,0.651,0.931,0.553,-5.507,2.359746436739404,4.479854026638421
188.051,0.592,0.232,0.696,0.152,-6.281,2.6215856291544433,6.8005566056492315
129.97,0.607,0.962,0.932,0.884,-7.237,2.821547106979939,3.5714768299066253
143.972,0.106,0.262,0.643,0.962,-15.241,3.392054280974312,2.749138263176397
124.991,0.353,0.731,0.81,0.0473,-9.536,3.488981826190124,2.552336328141501
142.127,0.00159,0.0355,0.137,0.981,-38.056,2.1832920441334944,2.253019930735175
119.93,0.264,0.331,0.422,0.922,-7.064,2.01999824400201,2.0508889323753046
145.947,0.469,0.737,0.742,0.45,-8.789,3.418845358714005,2.342904100674394
81.003,0.633,0.607,0.711,0.00579,-5.065,3.6598934918295662,0.07455837893486483
136.628,0.614,0.345,0.553,0.764,-5.098,3.4675945635811067,3.827618575858551
156.078,0.491,0.506,0.67,0.908,-11.226,2.225809615021757,4.146193252622533
112.891,0.688,0.785,0.772,0.201,-9.39,2.128062400608629,3.260627525473707
